Tweet,Sentiment
@tesla_truth If you win the lottery you generally dont give back the money ,neutral
@eringilfoy please pop into the carlys tesla groupchat and talk to us for a minute &lt;3,neutral
"@GinoG01328427 @ElectrekCo @FredericLambert @Tesla In a wishful universe, yes",neutral
Great design Just like their cars.  the @Tesla #WirelessPhoneCharger https://t.co/hlBmUMUaXk,neutral
@BryanSharp2 @elonmusk @Tesla gather up some other brick owners and build a house,neutral
SH00TERS FOR NIKOLAS TESLA,positive
@ShortyIam @AdySheth @cleantechnica @elonmusk @Tesla Same.,neutral
"@SteveHorwath @scottwww @AlterViggo @Reuters @Tesla I got tired of ot, too. 
So I wrote a 100% positive article abo https://t.co/07dHYW6NJQ",negative
"Tesla Semi Prototype spotted, first look at the frunk https://t.co/U5SFv4A7Ck",neutral
Hey @elonmusk @Tesla can Tesla make wheelchair accessible cars please and thanks,positive
